DESTINATION,NETWORK,NUMBER,RATE,EXP. DATE
BOLIVIA,ALL NETWORKS,59164858199,0.00275,2023-12-02T22:24:45.011Z,
BOLIVIA,ALL NETWORKS,59164858198,0.00275,2023-12-02T22:24:44.949Z,
BOLIVIA,ALL NETWORKS,59164858197,0.00275,2023-12-02T22:24:44.908Z,
BOLIVIA,ALL NETWORKS,59164858196,0.00275,2023-12-02T22:24:44.899Z,
BOLIVIA,ALL NETWORKS,59164858195,0.00275,2023-12-02T22:24:44.869Z,
BOLIVIA,ALL NETWORKS,59164858194,0.00275,2023-12-02T22:24:44.861Z,
BOLIVIA,ALL NETWORKS,59164858193,0.00275,2023-12-02T22:24:44.851Z,
BOLIVIA,ALL NETWORKS,59164858192,0.00275,2023-12-02T22:24:44.827Z,
BOLIVIA,ALL NETWORKS,59164858191,0.00275,2023-12-02T22:24:44.817Z,
BOLIVIA,ALL NETWORKS,59164858190,0.00275,2023-12-02T22:24:44.775Z,
BOLIVIA,ALL NETWORKS,59164858189,0.00275,2023-12-02T22:24:44.767Z,
BOLIVIA,ALL NETWORKS,59164858188,0.00275,2023-12-02T22:24:44.757Z,
BOLIVIA,ALL NETWORKS,59164858187,0.00275,2023-12-02T22:24:44.705Z,
BOLIVIA,ALL NETWORKS,59164858186,0.00275,2023-12-02T22:24:44.515Z,
BOLIVIA,ALL NETWORKS,59164858185,0.00275,2023-12-02T22:24:44.508Z,
BOLIVIA,ALL NETWORKS,59164858184,0.00275,2023-12-02T22:24:44.501Z,
BOLIVIA,ALL NETWORKS,59164858183,0.00275,2023-12-02T22:24:44.493Z,
BOLIVIA,ALL NETWORKS,59164858182,0.00275,2023-12-02T22:24:44.485Z,
BOLIVIA,ALL NETWORKS,59164858181,0.00275,2023-12-02T22:24:44.446Z,
BOLIVIA,ALL NETWORKS,59164858180,0.00275,2023-12-02T22:24:44.438Z,
BOLIVIA,ALL NETWORKS,59164858179,0.00275,2023-12-02T22:24:44.431Z,
BOLIVIA,ALL NETWORKS,59164858178,0.00275,2023-12-02T22:24:44.423Z,
BOLIVIA,ALL NETWORKS,59164858177,0.00275,2023-12-02T22:24:44.416Z,
BOLIVIA,ALL NETWORKS,59164858176,0.00275,2023-12-02T22:24:44.373Z,
BOLIVIA,ALL NETWORKS,59164858175,0.00275,2023-12-02T22:24:44.365Z,
BOLIVIA,ALL NETWORKS,59164858174,0.00275,2023-12-02T22:24:44.357Z,
BOLIVIA,ALL NETWORKS,59164858173,0.00275,2023-12-02T22:24:44.349Z,
BOLIVIA,ALL NETWORKS,59164858172,0.00275,2023-12-02T22:24:44.340Z,
BOLIVIA,ALL NETWORKS,59164858171,0.00275,2023-12-02T22:24:44.331Z,
BOLIVIA,ALL NETWORKS,59164858170,0.00275,2023-12-02T22:24:44.290Z,
BOLIVIA,ALL NETWORKS,59164858169,0.00275,2023-12-02T22:24:44.281Z,
BOLIVIA,ALL NETWORKS,59164858168,0.00275,2023-12-02T22:24:44.273Z,
BOLIVIA,ALL NETWORKS,59164858167,0.00275,2023-12-02T22:24:44.262Z,
BOLIVIA,ALL NETWORKS,59164858166,0.00275,2023-12-02T22:24:44.252Z,
BOLIVIA,ALL NETWORKS,59164858165,0.00275,2023-12-02T22:24:44.167Z,
BOLIVIA,ALL NETWORKS,59164858164,0.00275,2023-12-02T22:24:44.147Z,
BOLIVIA,ALL NETWORKS,59164858163,0.00275,2023-12-02T22:24:44.035Z,
BOLIVIA,ALL NETWORKS,59164858162,0.00275,2023-12-02T22:24:44.026Z,
